,Link,Price
136,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1403-C5384711,"$334,000"
137,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1203-C5383795,"$315,000"
138,https://condos.ca/toronto/26-olive-avenue-toronto/unit-Lph03-C5380862,"$728,000"
139,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-704-C5372624,"$760,000"
140,https://condos.ca/toronto/5-shady-lane-toronto/unit-1112-C5365932,"$660,000"
141,https://condos.ca/toronto/21-olive-avenue-toronto/unit-103-C5376207,"$513,000"
142,https://condos.ca/toronto/school-house-lofts-391-brunswick-ave/unit-203-C5354441,"$930,000"
143,https://condos.ca/toronto/55-prince-arthur-55-prince-arthur-ave/unit-604-C5361670,"$3,430,000"
144,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1109-C5376773,"$1,288,000"
145,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1411-C5371016,"$850,000"
146,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-Th105-C5313716,"$1,030,000"
147,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-606-C5349028,"$865,000"
148,https://condos.ca/toronto/99b-walmer-road-toronto/c5364685,"$1,455,000"
149,https://condos.ca/toronto/190-st-george-condos-190-st-george-st/unit-803-C5306045,"$850,000"
150,https://condos.ca/toronto/879-bathurst-street-toronto/c5319380,"$1,440,000"
151,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-801-C5354820,"$625,000"
152,https://condos.ca/toronto/355-dupont-street-toronto/unit-2-C5310658,"$2,325,000"
153,https://condos.ca/toronto/71-robert-street-toronto/c5260268,"$1,550,000"
154,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-217-C5334412,"$655,000"
155,https://condos.ca/toronto/131-lippincott-street-toronto/c5330110,"$1,505,000"
156,https://condos.ca/toronto/28-admiral-road-toronto/unit-8-C5298208,"$1,558,000"
157,https://condos.ca/toronto/annex-town5-126-spadina-rd/unit-5-C5302563,"$1,314,400"
158,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-305-C5326015,"$685,000"
159,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-608-C5322717,"$535,000"
160,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1808-C5293451,"$735,000"
161,https://condos.ca/toronto/5-shady-lane-toronto/unit-1602-C5310799,"$518,000"
162,https://condos.ca/toronto/65-major-street-toronto/c5305712,"$1,800,000"
163,https://condos.ca/toronto/lennox-mews-towns-230-234-st-george-st/unit-1-C5312584,"$845,000"
164,https://condos.ca/toronto/the-creed-building-295-davenport-rd/unit-205-C5305456,"$1,050,000"
165,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-217-C5272629,"$530,000"
166,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-611-C5274200,"$683,000"
167,https://condos.ca/toronto/258-robert-street-toronto/c5285667,"$1,615,000"
168,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-3-C5273755,"$881,000"
169,https://condos.ca/toronto/11-croft-street-toronto/c5245103,"$1,950,000"
170,https://condos.ca/toronto/186-howland-avenue-toronto/c5246844,"$1,550,000"
171,https://condos.ca/toronto/21-olive-avenue-toronto/unit-220-C5242111,"$599,000"
172,https://condos.ca/toronto/polo-club-1-1055-bay-st/unit-1003-C5398647,"$535,000"
173,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-705-C5406920,"$470,000"
174,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-2603-C5371251,"$537,000"
175,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3508-C5352749,"$556,000"
176,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-1604-C5337997,"$440,000"
177,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-4108-C5335803,"$550,000"
178,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1213-C5336182,"$532,000"
179,https://condos.ca/toronto/college-park-north-tower-763-bay-st/unit-2015-C5326465,"$537,000"
180,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-812-C5314815,"$530,000"
181,https://condos.ca/toronto/college-park-north-tower-763-bay-st/unit-1614-C5320441,"$540,000"
182,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5105-C5326701,"$555,000"
183,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-910-C5291097,"$550,000"
184,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-1002-C5301672,"$521,880"
185,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1712-C5306896,"$485,000"
186,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3402-C5305315,"$508,000"
187,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2106-C5259146,"$537,000"
188,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-1710-C5290179,"$533,000"
189,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-609-C5267421,"$543,000"
190,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2506-C5260454,"$510,000"
191,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-1210-C5162696,"$516,000"
192,https://condos.ca/toronto/wellesley-on-the-park-11-wellesley-st-w/unit-5210-C5255549,"$562,500"
193,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-Ph05-C5222519,"$582,000"
194,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-1104-C5253213,"$480,000"
195,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1403-C5232372,"$537,800"
196,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-912-C5191438,"$490,000"
197,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1903-C5216008,"$538,000"
198,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-1205-C5183279,"$599,600"
199,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-2502-C5183318,"$470,000"
200,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1517-C5197240,"$460,000"
201,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1001-C5132326,"$520,000"
202,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-811-C5178583,"$460,000"
203,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2211-C5131281,"$533,000"
204,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-1311-C5117812,"$492,000"
205,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-Ph4-C5144339,"$590,800"
206,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-626-C5128417,"$460,000"
207,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2011-C5131271,"$525,000"
208,https://condos.ca/toronto/the-allegro-909-bay-st/unit-1104-C5131872,"$538,898"
209,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5205-C5000483,"$513,500"
210,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-302-C5104662,"$462,500"
211,https://condos.ca/toronto/five-condos-5-st-joseph-st/unit-426-C5080068,"$552,000"
212,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-704-C4996132,"$408,000"
213,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5304-C5078596,"$631,000"
214,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-3010-C5002326,"$488,000"
215,https://condos.ca/toronto/murano-37-grosvenor-st-38-grenville-st/unit-805-C4958098,"$428,000"
216,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-2606-C4911904,"$436,000"
217,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-1518-C4992556,"$480,000"
