address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
5102 - 33 Bay St,"$6,500,000",4,5,4,"13,487",3497,EW,"$2,319.12",Tba,9 years old,Terrace,Owned,Heat Pump,Underground,Comm Element Condo,The Waterfront,Yes,TSCC-2204,279-302 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Squash Court', 'Tennis Court', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Business Centre (WiFi)', 'Indoor Child Play Area', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Visitor Parking']"
4802 - 16 Harbour St,"$1,640,000",3,3,2,"6,495",1772,NW,"$1,447.58",2022-01-31 00:,12 years old,Open Balcony,Exclusive,Heat Pump,Underground,Condo Apt,The Waterfront,Yes,TSCC-2030,149-167 sqm,"['Basketball Court', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Business Centre (WiFi)', 'Concierge', 'Guest Suites', 'Indoor Child Play Area', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Squash Court', 'Tennis Court', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'Indoor Pool', 'Gym']"
PH205 - 88 Harbour St,"$2,600,000",3,3,2,"14,813",1907,S,"$1,698.97",Tba/Immed,3 years old,Open Balcony,NA,Fan Coil,Underground,Condo Apt,The Waterfront,Yes,MTOP-2647,167-186 sqm,"['Gym', 'Pets', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Security Guard', 'Security System', 'Enter Phone System', 'Games Room', 'Indoor Pool']"
5102 - 16 Harbour St,"$1,650,000",3,3,2,"6,268",1739,NW,"$1,425.01",Immediate,12 years old,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,The Waterfront,Yes,TSCC-2030,149-167 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Guest Suites', 'Indoor Child Play Area', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Squash Court', 'Tennis Court', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'Indoor Pool']"
1310 - 65 Harbour Sq,"$1,790,000",3,3,2,"7,467",0,NS,"$1,667.48",30 Days/Tba,-,Juliet Balcony,NA,Baseboard,Underground,Condo Apt,The Waterfront,Yes,YCC-510,186-209 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Squash Court', 'Visitor Parking']"
3202 - 17 Bathurst St,"$1,210,000",3+1,2,1,NA,932,SW,$689.95,Immediate,0 years old,Open Balcony,Owned,Forced Air,Owned,Condo Apt,The Waterfront,Yes,TSCC-2848,84-93 sqm,"['Gym', 'Pets', 'Concierge', 'Business Centre (WiFi)', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Patio', 'Sauna', 'Spa', 'Yoga Studio', 'Pet Spa', 'Outdoor Games Lounge']"
203W - 480 Queens Quay W,"$1,650,000",3,3,2,"8,298",0,SW,"$2,057.22",Immed/Tba,33 years old,Open Balcony,NA,Baseboard,Underground,Condo Apt,The Waterfront,Yes,MTCC-781,232-255 sqm,"['BBQ Permitted', 'Car Wash', 'Gym', 'Indoor Pool', 'Party Room', 'Tennis Court', 'Pool', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Concierge', 'Rec Room']"
803 - 410 Queens Quay W,"$1,310,000",3,2,1,"4,204",1293,S,"$1,315.94",60 Days,18 years old,Open Balcony,Ensuite,Forced Air,Underground,Comm Element Condo,The Waterfront,Yes,TSCC-1485,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'FibreStream Internet', 'Games Room']"
6810 - 88 Harbour St,"$1,386,800",3,2,1,"6,039",0,SW,$940.38,Tbd,3 years old,Enclosed Balcony,None,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2647,93-111 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Indoor Pool', 'Pets', 'Rooftop Deck', 'Public Transit', 'Party Room', 'Business Centre (WiFi)', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Security Guard', 'Security System', 'BBQ Permitted', 'Games Room']"
2211 - 19 Bathurst St,"$1,149,900",3,2,0,NA,841,SE,$543.08,Tba,New,Open Balcony,None,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC,74-84 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Rooftop Deck', 'Media Room', 'Outdoor Patio', 'Sauna', 'Yoga Studio', 'Business Centre (WiFi)', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Games Lounge', 'Pet Spa', 'Pets', 'Spa']"
