address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
808 - 320 Richmond St E,"$682,500",1+1,2,1,"2,383",695,W,$513.52,30/60 Days Tbs,9 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Concierge', 'Gym', 'Games Room', 'Pool', 'Media Room', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Rooftop Deck', 'Sauna', 'Visitor Parking', 'Outdoor Pool', 'Bike Storage', 'Games Room']"
2303 - 181 Dundas St E,"$702,888",2,1,0,"2,339",640,W,$394.23,30/60,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
PH04 - 220 George St,"$1,650,000",3,4,1,"8,740",2234,S,"$1,855.60",Tbd,4 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2610,209-232 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Security Guard', 'Security System']"
2711 - 181 Dundas St E,"$705,000",2,1,0,"2,414",640,NW,$424.23,Immed Tbd,2 years old,Juliet Balcony,Owned,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
1810 - 181 Dundas St E,"$695,000",2,1,0,"2,383",0,SW,$394.23,Tba,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Concierge', 'Gym', 'Visitor Parking', 'Beanfield Fibre Available', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
PH#16 - 320 Richmond St E,"$605,000",1+1,1,1,"1,997",525,E,$415.63,30 - 45 Days,9 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Beanfield Fibre Available', 'Outdoor Pool']"
1005 - 181 Dundas St E,"$700,000",2,1,0,"2,400",640,SE,$425.00,Immed / Tba,2 years old,Juliet Balcony,Owned,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
4111 - 181 Dundas St E,"$700,000",2,1,0,"2,383",640,NW,$394.23,2021-09-01 00:,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Beanfield Fibre Available', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
5211 - 181 Dundas St E,"$705,800",2,1,0,"2,414",640,NE,$424.22,Immediate,2 years old,Juliet Balcony,Owned,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
605 - 220 George St,"$1,010,000",2,2,1,"4,240",1047,S,$912.84,Tbd,3 years old,Open Balcony,Owned,Fan Coil,Underground,Comm Element Condo,Moss Park,Yes,TSCC-2610,93-111 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'BBQ Permitted']"
3505 - 181 Dundas St E,"$709,000",2,1,0,"2,339",640,SE,$394.23,Immediate/Tba,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Media Room', 'Party Room', 'Beanfield Fibre Available', 'Guest Suites', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
11 - 17 Pembroke St,"$805,000",3,2,1,"3,136",0,SE,$942.42,Flex,41 years old,Terrace,None,Fan Coil,Underground,Condo Townhouse,Moss Park,Yes,YCC-504,111-130 sqm,[]
707 - 181 Dundas St E,"$530,000",1,1,0,"1,656",441,S,$271.65,Immediately,2 years old,None,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
2911 - 181 Dundas St E,"$720,000",2,1,1,"2,638",640,NW,$493.23,30/60/Tba,0-5 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Concierge', 'Guest Suites', 'Gym']"
1508 - 181 Dundas St E,"$535,000",1,1,0,"1,703",445,S,$334.90,Immed,2 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Party Room', 'Beanfield Fibre Available', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
PH 10 - 320 Richmond St E,"$660,000",1+1,1,1,"2,554",694,W,$526.85,30/60/Tba,9 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Outdoor Pool', 'Rooftop Deck', 'Visitor Parking', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Sauna']"
1508 - 181 Dundas St E,TBD,1,1,0,"1,703",445,S,$334.90,Immed,2 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Party Room', 'Beanfield Fibre Available', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
3008 - 181 Dundas St E,"$525,000",1,1,0,"1,723",445,S,$274.11,Tbd,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Business Centre (WiFi)', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
706 - 181 Dundas St E,"$615,000",1+1,1,0,"2,099",570,S,$351.11,Immed/Tba,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
1314 - 320 Richmond St E,"$798,000",2,2,1,"2,807",825,W,$613.72,Tba,9 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,74-84 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rooftop Deck', 'Sauna', 'Outdoor Pool', 'Bike Storage']"
1110 - 320 Richmond St E,"$640,000",1+1,2,0,"2,144",654,W,$430.39,Tbd,9 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Concierge', 'Gym', 'Pool', 'Party Room', 'Sauna', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rooftop Deck', 'Visitor Parking', 'Outdoor Pool', 'Bike Storage']"
5209 - 181 Dundas St E,"$599,000",1+1,1,0,"2,135",570,S,$381.95,120 Days/Tba,2 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
2803 - 181 Dundas St E,"$695,000",2,1,0,"2,339",640,NE,$394.23,Immediate,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Concierge', 'Gym', 'Games Room', 'Media Room', 'Party Room', 'Beanfield Fibre Available', 'Guest Suites', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
4708 - 181 Dundas St E,"$565,000",1,1,0,"1,694",445,S,$274.11,Anytime,2 years old,Juliet Balcony,None,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Bike Storage', 'Business Centre (WiFi)', 'Concierge', 'Gym', 'Guest Suites', 'Beanfield Fibre Available', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
PH06 - 320 Richmond St E,"$620,000",1+1,1,0,"2,279",684,W,$450.14,End Of July,9 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Beanfield Fibre Available', 'Outdoor Pool']"
3512 - 181 Dundas St E,"$635,000",1+1,1,0,"2,703",560,W,$379.94,30/60/Tbd,2 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,46-56 sqm,"['Beanfield Fibre Available', 'Concierge', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Gym', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
217 - 365 Dundas St E,"$695,000",1,1,1,"2,267",593,N,$644.09,90/Tba,20 years old,None,Owned,Forced Air,Surface,Condo Apt,Moss Park,Yes,MTCC-1333,74-84 sqm,"['Bike Storage', 'Gym', 'Party Room', 'Rooftop Deck', 'Security System', 'BBQ Permitted', 'Meeting Room', 'Pets', 'Public Transit']"
1308 - 320 Richmond St E,"$700,000",1+1,2,0,"4,281",656,W,$445.70,60-90 Tbd,9 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Beanfield Fibre Available', 'Outdoor Pool']"
503 - 320 Richmond St E,"$560,000",1+1,2,1,"2,327",661,SE,$505.13,30-60,9 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,56-65 sqm,"['Gym', 'Pool', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Beanfield Fibre Available', 'Outdoor Pool']"
2011 - 181 Dundas St E,"$695,000",2,1,0,"2,339",640,NW,$394.23,30 Days,-,Open Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Business Centre (WiFi)', 'Media Room']"
902 - 320 Richmond St E,"$523,000",1,1,0,"1,493",445,E,$292.86,"30,60",6-10 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,0-46 sqm,"['Gym', 'Pool', 'Concierge', 'Guest Suites', 'Outdoor Pool']"
402 - 320 Richmond St E,"$530,000",1,1,0,"1,931",573,E,$391.09,June 10/Tbd,-,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Outdoor Pool']"
502 - 220 George St St,"$520,000",1,1,0,"2,141",538,S,$436.33,Tba,3 years old,Open Balcony,Owned,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2610,46-56 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'BBQ Permitted']"
904 - 220 George St,"$990,000",2,3,1,"4,648",1205,NS,"$1,020.49",Flex,3 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2610,111-130 sqm,"['Party Room', 'BBQ Permitted']"
1418 - 320 Richmond St E,"$560,000",1+1,1,0,"1,865",575,E,$392.40,Tbd,-,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2221,46-56 sqm,"['Gym', 'Rooftop Deck', 'Party Room', 'Visitor Parking', 'Security Guard', 'Outdoor Pool']"
3611 - 181 Dundas St E,"$745,000",2,1,1,"2,669",640,NW,$529.22,30 Days,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Beanfield Fibre Available', 'Concierge', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Gym', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
1905 - 181 Dundas St E,"$700,000",2,1,0,"2,339",640,S,$394.23,Vacant,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']"
4005 - 181 Dundas St E,"$709,000",2,1,0,"2,339",640,SE,$394.23,Tbd,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Business Centre (WiFi)', 'Concierge', 'Gym', 'Media Room', 'Party Room', 'Rooftop Deck', 'Beanfield Fibre Available', 'Guest Suites', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room']"
3711 - 181 Dundas St E,"$690,000",2,1,0,"2,339",640,NW,$394.23,Tba,2 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Moss Park,Yes,TSCC-2694,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Beanfield Fibre Available', 'Media Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Visitor Parking', 'Meeting Room', 'Outdoor Pool', 'Rec Room', 'Rooftop Deck']"
1708 - 181 Dundas St E,"$525,000",1,1,0,"1,643",445,S,$274.11,May 1/Tba,0-5 years old,Juliet Balcony,None,Forced Air,NA,Condo Apt,Moss Park,Yes,TSCC-2694,0-46 sqm,"['Bike Storage', 'Business Centre (WiFi)', 'Concierge', 'Party Room']"
605 - 21 Nelson St,"$455,000",Studio,1,0,"1,570",424,N,$336.80,Immediate,11 years old,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2061,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool', 'Outdoor Pool']"
321 - 955 Queen St W,"$550,000",Studio,1,0,"1,757",462,W,$308.72,45/60/Tba,16 years old,None,None,Heat Pump,Underground,Condo Apt,Queen West,Yes,TSCC-1651,0-46 sqm,"['Gym', 'Pets', 'Concierge', 'Party Room', 'BBQ Permitted', 'Media Room', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Security Guard', 'Security System']"
3603 - 290 Adelaide St W,"$470,000",Studio,1,0,"1,601",327,W,$223.80,Immed,4 years old,Open Balcony,None,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2584,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Sauna', 'Rooftop Deck', 'BBQ Permitted', 'Guest Suites', 'Outdoor Patio', 'Rec Room', 'FibreStream Internet', 'Meeting Room', 'Security Guard', 'Visitor Parking', 'Beanfield Fibre Available']"
605 - 330 Richmond St W,"$490,000",Studio,1,0,NA,0,W,$0.00,Tbd,0 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2835,0-46 sqm,[]
1812 - 215 Queen St W,"$465,000",Studio,1,0,"1,523",289,S,$280.00,Flexible,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2718,0-46 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Elevator', 'Guest Suites', 'Meeting Room', 'Rec Room', 'Security Guard', 'Beanfield Fibre Available']"
1116 - 215 Queen St W,"$445,000",Studio,1,0,"1,466",276,S,$246.46,Immediate,2 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2718,0-46 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Elevator', 'Guest Suites', 'Meeting Room', 'Rec Room', 'Security Guard', 'Beanfield Fibre Available']"
1212 - 215 Queen St W,"$445,000",Studio,1,0,"1,487",0,S,$280.19,Tba,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2718,0-46 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Party Room', 'Beanfield Fibre Available', 'Elevator', 'Guest Suites', 'Meeting Room', 'Rec Room', 'Security Guard', 'Visitor Parking']"
1716 - 215 Queen St W,"$462,000",Studio,1,0,"1,451",276,S,$246.45,Immed / Tba,2 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2718,0-46 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Elevator', 'Guest Suites', 'Meeting Room', 'Rec Room', 'Security Guard', 'Beanfield Fibre Available']"
908 - 101 Peter St,"$450,000",Studio,1,0,"1,547",355,S,$241.41,Tbd,6 years old,None,None,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2416,0-46 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Games Room']"
806 - 608 Richmond St W,"$525,000",Studio,1,0,"1,799",494,S,$364.30,60/Tbd,2 years old,None,None,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2707,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Meeting Room', 'Security Guard', 'Security System', 'FibreStream Internet']"
1521 - 140 Simcoe St,"$475,000",Studio,1,0,"1,601",387,W,$266.36,Flexible,16 years old,Open Balcony,NA,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-1667,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'FibreStream Internet', 'Games Room', 'Indoor Pool']"
2102 - 318 Richmond St W,"$463,000",Studio,1,0,"1,574",351,N,$291.24,30 Days/Tba,4 years old,Open Balcony,Owned,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2547,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Sauna', 'Spa', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Games Room']"
809 - 101 Peter St,"$462,000",Studio,1,0,"1,523",557,S,$242.77,Flexible,6 years old,None,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2416,0-46 sqm,"['Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Games Room', 'Gym']"
1405 - 318 Richmond St W,"$450,000",Studio,1,0,"1,415",347,E,$251.95,Flexible,4 years old,None,None,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2547,0-46 sqm,"['BBQ Permitted', 'Bike Storage', 'Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Beanfield Fibre Available', 'FibreStream Internet', 'Jacuzzi', 'Media Room', 'Outdoor Patio', 'Rooftop Deck', 'Sauna', 'Spa', 'Yoga Studio', 'Games Room', 'Meeting Room', 'Visitor Parking']"
703 - 32 Camden St,"$457,500",Studio,1,0,"1,637",416,S,$318.95,Immediate,7 years old,None,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2313,0-46 sqm,"['Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Public Transit', 'BBQ Permitted', 'Bike Storage', 'Outdoor Patio', 'Pet Restriction', 'Rec Room', 'Security System', 'Visitor Lounge', 'Games Room', 'Meeting Room']"
503 - 32 Camden St,"$449,000",Studio,1,0,"1,637",416,S,$318.95,Flexible/60,7 years old,None,Owned,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2313,0-46 sqm,"['Bike Storage', 'Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Public Transit', 'BBQ Permitted', 'Outdoor Patio', 'Pet Restriction', 'Rec Room', 'Security System', 'Visitor Lounge', 'Games Room', 'Meeting Room']"
1510 - 318 Richmond St W,"$480,000",Studio,1,0,"1,847",473,W,$343.39,Immediate,4 years old,None,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2547,0-46 sqm,"['BBQ Permitted', 'Bike Storage', 'Concierge', 'Games Room', 'Guest Suites', 'Gym', 'Beanfield Fibre Available', 'FibreStream Internet', 'Jacuzzi', 'Media Room', 'Outdoor Patio', 'Rooftop Deck', 'Sauna', 'Spa', 'Yoga Studio', 'Meeting Room', 'Party Room', 'Visitor Parking']"
3803 - 290 Adelaide St W,"$463,000",Studio,1,0,"1,601",327,W,$212.65,2021-04-16 00:,4 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2584,0-46 sqm,"['Concierge', 'Games Room', 'Guest Suites', 'Gym', 'Outdoor Pool', 'Party Room', 'Rooftop Deck', 'BBQ Permitted', 'Outdoor Patio', 'Rec Room', 'Sauna', 'FibreStream Internet', 'Meeting Room', 'Security Guard', 'Visitor Parking']"
1610 - 215 Queen St W,"$525,500",Studio,1,0,"1,883",370,E,$352.53,Immed / Tba,1 years old,Open Balcony,Owned,Forced Air,NA,Condo Apt,Queen West,Yes,TSCC-2718,0-46 sqm,"['Bike Storage', 'Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Rooftop Deck', 'Beanfield Fibre Available', 'Elevator', 'Meeting Room', 'Rec Room', 'Security Guard', 'Visitor Parking']"
303 - 477 Richmond St W,"$905,477",Studio,1,1,"3,322",0,NW,$801.89,Immed/Tba,28 years old,None,Ensuite,Forced Air,Underground,Condo Apt,Queen West,Yes,MTCC-1064,111-130 sqm,"['Security Guard', 'Concierge', 'Gym', 'Parking Garage', 'Pet Restriction', 'Security System']"
1608 - 435 Richmond St W,"$535,000",Studio,1,0,"2,297",490,NW,$320.66,Immediate,4 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2535,0-46 sqm,"['Concierge', 'Gym', 'Rec Room', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Party Room', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Outdoor Patio', 'Security System', 'Yoga Studio', 'Beanfield Fibre Available', 'Games Room', 'Meeting Room']"
820 - 199 Richmond St,"$475,000",Studio,1,0,"1,727",449,N,$363.93,Imm,4 years old,Open Balcony,NA,Forced Air,Underground,Condo Apt,Queen West,Yes,TSCC-2517,0-46 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Media Room', 'Meeting Room', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'FibreStream Internet', 'Bike Storage']"
